trial,model,thinking_level,issues_found,issues_confirmed,adversary_kills,kill_rate,programmatic_findings,code_quality_verdict
1,gemini-3.1-pro-preview,low,5,0,5,1.0,0,secure
2,gemini-3.1-pro-preview,medium,5,0,4,0.8,0,secure
3,gemini-3.1-pro-preview,high,6,0,4,0.667,0,secure
4,gemini-3-flash-preview,minimal,8,2,5,0.625,0,mostly_secure
5,gemini-3-flash-preview,low,8,2,5,0.625,0,mostly_secure
6,gemini-3-flash-preview,medium,9,0,5,0.556,0,concerning
7,gemini-3-flash-preview,high,8,0,6,0.75,0,mostly_secure
8,gemini-3.1-flash-lite-preview,minimal,6,3,2,0.333,0,concerning
9,gemini-3.1-flash-lite-preview,low,7,0,3,0.429,0,mostly_secure
